glasswareId,glasswareName
0,
1,Demitasse Glass
2,Stemless Wine Glass
3,Coffee Mug
4,Tall Glass
5,Tin Cup
6,Large Antique Vintage Shaker
7,Fizz Glass
8,Shorty Beer
9,Port Glass
10,Lowball Glass
11,Espresso Cup
12,Shot Glass
13,Egg Coupe
14,Copita Glass
15,Highball Glass
16,Coupe
17,Handled Glass
18,Julep Cup
19,Tiki glass
20,Wine Glass
21,Snifter
22,Double Rocks Glass
23,8 oz Glass
24,Pitcher
25,Copper Mug
26,Vintage Glass
27,Collins
28,Crystal Rocks
29,Punch Bowl
30,Royal Coupette
31,Champagne Flute
32,Tiki Cat Glass
33,Punch Glass
34,Margarita Glass
35,Canadian Glencairn Glass
36,Cocktail Glass
37,Glass Mug
38,Small tumbler
39,Martini
40,Mug
41,V-Shaped Rocks Glass
42,Flip Glass
43,Rocks Glass
44,Tiki Glass
45,Footed Rocks Glass
46,Stemmed Cordial Glass
47,Hurricane Glass
48,Lager
49,Bucket
50,Tumbler
51,Beer Glass
52,Pint Glass
53,Smoked Glass
54,Brandy Snifter
55,Copper mug
56,Chilled Glass
57,Old Fashioned Glass
58,Etched Rocks Glass
59,Irish Coffee glass
60,Goblet
61,Double Old Fashioned Glass
62,Large Balloon Glass
63,Pilsner Glass
64,Irish Coffee Mug
65,Nick & Nora
66,Bamboo Highball Glass
